"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C24,C25,C26,C27","25","0.1µF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C22,C23","2","0.01µF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"D1","1","LED_Dual_AAK","","","","LED_THT:LED_D5.0mm-3",""
"J1","1","USB_MiniB_Adafruit_Breakout","","","","extra:USB_MiniB_Adafruit_Breakout","https://www.adafruit.com/product/1764"
"J2","1","Conn_01x08_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"J3","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32","32","12k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R33","1","8.2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R34","1","1.2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R35","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R36,R37","2","4.7k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R38","1","15k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"RV1,RV2","2","R_Potentiometer","","","","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18","18","SW_Push_Dual","","","","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-100x",""
"U1","1","PIC32MX250F128B","","","","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MX1XX2XX-28-36-44-PIN-DS60001168K.pdf"
"U2","1","MAX3232","","","","Package_DIP:DIP-16_W7.62mm","https://www.analog.com/media/en/technical-documentation/data-sheets/max3222-max3241.pdf"
"U3","1","MCP23017x-x-SP","","","","Package_DIP:DIP-28_W7.62mm","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf"
"Y1","1","20MHz","","","","extra:Crystal_HC49-U_Vertical_20MHz",""
